id,manual_title_zh,manual_summary,review_status,reviewer_notes,model
"5341f96a97832ceb","武田Mimrylo获FDA批准，用于真性红细胞增多症","美国FDA已批准武田的Mimrylo（rusfertide）用于治疗真性红细胞增多症。该药是每周一次皮下注射的hepcidin模拟肽，III期VERIFY研究显示其在标准治疗基础上可提高应答并减少放血治疗需求。这是上市批准节点；对ACRO的直接产品需求尚无公开证据，应继续跟踪上市后研究和检测需求。","verified","已核对武田公告及既有精读；与其他Mimrylo报道为同一事件","ChatGPT Pro"
"3eb4e504e20877ba","安斯泰来在日本申报fezolinetant，用于改善更年期血管舒缩症状","安斯泰来已向日本厚生劳动省提交fezolinetant的新药申请，用于治疗绝经相关血管舒缩症状。该药是口服选择性NK3受体拮抗剂，申请主要基于两项日本III期STARLIGHT研究。当前只是申报节点，并非日本已批准或已上市。","verified","已核对Astellas 2026年8月7日日本官方公告","ChatGPT Pro"
"34cd5c5b8acdd97b","第一三共CD25 ADC DS1025进入首次人体I期临床","第一三共已为DS1025的首例受试者给药，启动面向晚期或转移性实体瘤的首次人体I期研究。DS1025是面向CD25的ADC，采用针对免疫肿瘤学优化的细胞毒载荷，旨在清除肿瘤微环境中的调节性T细胞并激活抗肿瘤免疫。这是早期临床入组节点，尚不能得出疗效或商业化结论。","verified","已核对Daiichi Sankyo 2026年8月27日官方公告","ChatGPT Pro"
"b7dfbb89d95d38f2","优赫得一线治疗HER2突变晚期非小细胞肺癌III期达到PFS主要终点","优赫得在DESTINY-Lung04 III期研究中，与铂类加培美曲塞和pembrolizumab的对照方案相比，显著并具有临床意义地改善了一线HER2突变晚期非鳞状非小细胞肺癌患者的无进展生存期。总生存期数据仍在评估，且这是阳性顶线结果，不等于新适应症已获批。","verified","已核对Daiichi Sankyo 2026年8月17日官方公告","ChatGPT Pro"
"727ccd206685c83a","中外制药在日本申报Enspryng，用于MOG抗体相关疾病复发预防","中外制药已在日本提交Enspryng（satralizumab）的适应症扩大申请，用于预防MOG抗体相关疾病复发。申请基于全球III期METEOROID研究，官方披露与安慰剂相比复发风险降低68%。当前是监管申报，不是新适应症已获批。","verified","已核对Chugai 2026年7月31日官方公告并与媒体报道交叉确认","ChatGPT Pro"
"ff1fe1fde07ed94a","欧狄沃围手术期方案在台湾获批，用于可切除非小细胞肺癌","台湾卫生福利部已批准欧狄沃加含铂双药化疗的术前辅助治疗，之后手术并继续欧狄沃单药术后辅助治疗，用于肿瘤至少4 cm或淋巴结阳性、且EGFR和ALK阴性的可切除非小细胞肺癌。批准主要基于CheckMate-77T研究，属于台湾适应症扩展节点。","verified","已核对Ono Pharmaceutical 2026年8月19日官方公告","ChatGPT Pro"
"355b7e75bdc462f3","欧狄沃围手术期方案在韩国获批，用于可切除非小细胞肺癌","韩国食品医药品安全处已批准欧狄沃加含铂双药化疗的术前辅助治疗，随后进行手术并使用欧狄沃单药术后辅助治疗，适用于特定EGFR和ALK阴性的可切除非小细胞肺癌。该批准同样基于CheckMate-77T，应与台湾获批分别记录为两个区域监管节点。","verified","已核对Ono Pharmaceutical 2026年8月4日官方公告","ChatGPT Pro"
"d798a3eb839131eb","田边制药将罕见病候选药MT-7117全球权益转让给LEO Pharma","田边制药已将口服MC1R激动剂MT-7117（dersimelagon）的全球开发与商业化权益转让给LEO Pharma。该药针对红细胞生成性原卟啉症和X连锁原卟啉症，美国NDA已于6月提交，田边将继续完成当前审评工作。媒体报道合同对价最高约695亿日元；这是资产组合与商业化责任转移信号，不是新药获批。","verified","已核对Tanabe Pharma官方公告并与日经报道交叉确认","ChatGPT Pro"
"2fb1951ea24539d6","优赫得一线治疗HER2突变晚期非小细胞肺癌III期达到PFS主要终点","第一三共和阿斯利康宣布，优赫得在DESTINY-Lung04 III期研究中显著改善了一线HER2突变晚期非鳞状非小细胞肺癌的无进展生存期。总生存期尚未成熟，公司计划将数据提交给监管机构。本条是日文官方版本，与英文公告为同一事件，应合并计数。","verified","已核对Daiichi Sankyo日文官方公告；与英文公告为同一事件","ChatGPT Pro"
"d6c09bf8153ee534","赛默飞推出Orbitrap Isora同位素比值质谱系统","赛默飞发布Orbitrap Isora IRMS系统，用电喷雾电离与高分辨Orbitrap质谱测量完整分子的同位素和同位素异构体比值，并整合Vanquish Duo UHPLC与Isotope Discoverer软件。目标应用包括环境、地球化学、代谢及食品真伪分析。这是竞品仪器平台更新，与ACRO核心试剂业务的直接重叠较低，适合归入产品边界观察。","verified","已核对Thermo Fisher官方产品资料并与行业报道交叉确认","ChatGPT Pro"
"1e8017f8806ae3ba","昆士兰大学与赛默飞建立长期合作框架，覆盖矿产、生物医药与先进制造","昆士兰大学与赛默飞签署框架协议，将在清洁能源、关键矿产、先进制造和生物医学研究等领域持续开展合作，并设立10万澳元原住民教育基金。这是长期产学研合作框架，不是单一设备采购或已落地的具体项目。","verified","已核对University of Queensland 2026年8月26日官方公告","ChatGPT Pro"
"e787af7f45dbf4c8","安斯泰来与美国政府达成药价与供应自愿协议","安斯泰来宣布与美国政府达成自愿协议，承诺下调Medicaid药品价格，并将未来美国价格与其他发达国家水平对齐。公司还将向美国战略原料药储备捐赠25公斤他克莫司原料药，其他条款未披露。这是定价、可及性与供应链政策信号，不应解读为新药进展。","verified","已核对Astellas 2026年9月1日官方公告","ChatGPT Pro"
"b55a5b42dac749d0","盐野义终止与Susmed的失眠症治疗App销售合作","盐野义与Susmed宣布结束自2021年起的失眠症治疗App Medcle销售合作。该App已于2026年6月在日本获得保险适用并开始销售，双方只披露终止决定来自协商，未公布更详细原因。这属于数字疗法的渠道与合作关系调整，不直接指向试剂采购需求。","verified","已核对日刊药业公开摘要并与盐野义、Susmed公告交叉确认","ChatGPT Pro"
"3b1e730534809f67","田边制药将MT-7117全球开发与商业化权益转让给LEO Pharma","田边制药与LEO Pharma签署协议，将针对红细胞生成性原卟啉症和X连锁原卟啉症的MT-7117（dersimelagon）全球权益转交给LEO Pharma。合同包含首付款、近期里程碑、后续里程碑与特许权使用费；田边仍将继续推进已提交的美国NDA审评工作。对客户跟进而言，后续开发与商业化决策主体将逐步转向LEO Pharma。","verified","已核对Tanabe Pharma 2026年8月18日官方公告","ChatGPT Pro"
"9cd807f39ffb8ed2","卫材与Biogen在美国推出LEQEMBI IQLIK自注射器，用于早期阿尔茨海默病起始治疗","卫材与Biogen已在美国供应LEQEMBI IQLIK每周一次皮下自注射方案，用于早期阿尔茨海默病的起始治疗。起始剂量为500 mg，治疗18个月后也可采用每周360 mg维持剂量。该产品降低了静脉输注负担，但ARIA相关MRI监测要求仍然存在；本条是日文转载，与既有英文公告为同一上市事件。","verified","已核对Eisai日文公告；与已精读的IQLIK上市事件重复","ChatGPT Pro"
"63a85e7f9c5d383d","安斯泰来启动ASP2138一线胃癌全球III期研究","安斯泰来已在ASP2138全球III期研究中完成首例患者给药，对象为CLDN18.2阳性、HER2阴性的局部晚期不可切除或转移性胃腺癌及胃食管结合部腺癌一线患者。ASP2138是同时面向CLDN18.2和CD3的双特异性抗体。这是III期启动与入组节点，并非疗效证明或获批。","verified","已核对Astellas 2026年8月25日官方公告","ChatGPT Pro"
"10441cf2c0d6077f","中外制药在日本申报Tecentriq，用于MSI-High结肠癌术后辅助治疗","中外制药已在日本提交Tecentriq的适应症扩大申请，方案为Tecentriq联合mFOLFOX6，用于成人和儿童MSI-High结肠癌术后辅助治疗。III期ATOMIC研究显示，联合组3年无病生存率为86.3%，对照组为76.2%，危险比0.50，未发现新的安全性信号。当前仍是申报节点，不是适应症已批准。","verified","已核对Chugai 2026年8月14日官方公告","ChatGPT Pro"
