id,manual_title_zh,manual_summary,review_status,reviewer_notes,model
"118436eb275cbfc5","第一三共启动Dato-DXd尿路上皮癌术后辅助治疗III期试验；赛诺菲在日本推出Sarclisa皮下注射剂","第一三共已启动全球III期试验，评估Dato-DXd联合rilvegostomig或Dato-DXd单药用于高复发风险肌层浸润性尿路上皮癌术后辅助治疗，并与多种标准方案比较，计划入组约915人。对ACRO而言，这是TROP2 ADC与双特异性抗体联合开发的明确临床进展，应独立跟踪第一三共项目，不能把同篇汇总中的赛诺菲新品混成同一客户动作。","verified","已核对AnswersNews正文中第一三共与赛诺菲两个独立段落","ChatGPT Pro"
"8cbae020b3f6ab72","盐野义终止与Susmed的不眠症治疗App销售合作；儿童用Orladeyo颗粒剂在日本获批","盐野义与Susmed在不眠症治疗App于日本获得保险适用并上市后，宣布终止双方自2021年起的销售合作。文章同时报道OrphanPacific的儿童用Orladeyo颗粒剂获批，后者并非盐野义动作。对客户跟进而言，应关注盐野义数字疗法合作终止的原因和后续渠道安排，而不是把汇总中的其他产品批准一并归给盐野义。","verified","已核对AnswersNews正文；区分同一汇总中的不同公司事件","ChatGPT Pro"
"6f36892d6bb06249","武田与Protagonist的Mimrylo获FDA批准，分析师预计峰值销售可达20亿美元","FDA批准武田与Protagonist共同开发的rusfertide，商品名Mimrylo，用于治疗真性红细胞增多症。批准依据包括III期VERIFY研究，且标签未要求患者必须先接受细胞减量治疗；杰富瑞分析师预计峰值销售额或达20亿美元。该信号代表武田新一轮增长产品进入商业化阶段，适合跟踪伴随检测、临床研究和上市后证据需求，但分析师预测不等同于公司业绩承诺。","verified","已核对BioSpace正文及其引用的武田官方资料","ChatGPT Pro"
"90cd92b7eadcc655","安进将日本列为重点市场，计划推进肥胖症药物和前列腺癌T细胞衔接器等新品","这篇报道的主体是安进，重点是其继续提高日本市场优先级，并推进肥胖症药物及前列腺癌T细胞衔接器等管线。安斯泰来只在安进2020年结束双方合资公司的历史背景中被提及，不构成安斯泰来当前客户动作。该条应按安进行业信号或误命中复核处理，不宜据此发起安斯泰来销售跟进。","verified","已核对公开标题与来源摘要；确认安斯泰来仅为历史背景提及","ChatGPT Pro"
"cb582bed07d28e07","百普赛斯GMP级人IL-15获得日本PMDA再生医疗产品材料适用性确认","百普赛斯的GMP级人IL-15蛋白获得日本PMDA再生医疗产品材料适用性确认，适用场景涉及CAR-T、CAR-NK和TCR-T等再生医疗产品生产所需关键原料。该认定强化了产品在日本细胞治疗申报中的质量与合规证据，市场部可优先转化为日本客户沟通、销售培训和合规传播材料，并明确区分材料确认与药品本身获批。","verified","已核对ACROBiosystems官网原文与证书说明","ChatGPT Pro"
"54568a3d96be12a6","中外制药申报抗IL-6抗体vamikibart；安斯泰来启动CLDN18.2/CD3双抗ASP2138的III期试验","这篇行业汇总包含两个独立高价值事件：中外制药已在日本申报抗IL-6单抗vamikibart，用于非感染性葡萄膜炎相关黄斑水肿；安斯泰来则为CLDN18.2/CD3双特异性抗体ASP2138启动全球III期一线胃癌或胃食管结合部癌研究。两条分别对应抗体注册申报与双抗临床放量，应拆分为两个客户项目跟踪，避免用一条统一销售动作覆盖。","verified","已核对中外和安斯泰来官方新闻稿","ChatGPT Pro"
"afaf92cda6f80a73","中外制药在日本申报抗IL-6抗体vamikibart，用于葡萄膜炎相关黄斑水肿","中外制药已向日本厚生劳动省提交vamikibart上市申请，拟用于非感染性葡萄膜炎相关黄斑水肿。该药为玻璃体内给药的抗IL-6单克隆抗体，申请依据包括全球III期MEERKAT与SANDCAT研究；若获批，有望成为日本首个用于该适应症的抗IL-6抗体疗法。当前状态是已申报而非已获批，适合持续跟踪审评节点和抗体相关研究需求。","verified","已核对中外制药2026年8月25日官方新闻稿","ChatGPT Pro"
"928887327384a382","盐野义终止与Susmed的不眠症治疗App销售合作","盐野义宣布结束与Susmed就不眠症治疗App Medcle签订的销售合作协议。该App已于2026年6月在日本获得保险适用并开始销售，双方仅表示终止决定来自协商结果。此信号反映数字疗法商业合作调整，不直接指向蛋白或试剂需求；建议归入客户关系与渠道变化观察，而不是研发采购线索。","verified","已核对Mix Online公开摘要并与AnswersNews正文交叉确认","ChatGPT Pro"
"888c139d5cd72870","赛默飞在BIO International 2026展示制造、临床开发与AI赋能研发能力","赛默飞在BIO International 2026集中展示从药物研发、临床开发到生产制造的新增能力，并强化AI在知识管理、试验流程和复杂制造决策中的应用。它不是单一产品发布，而是端到端服务平台的品牌与客户获取动作。对ACRO市场部更有价值的是比较赛默飞如何组织BIO大会话术、整合CDMO与CRO能力并承接亚洲生物技术公司的全球化需求。","verified","已核对赛默飞新闻稿索引及BIO 2026官方回顾","ChatGPT Pro"
"7b5b1e59e7db16ce","Astorg完成收购赛默飞全球微生物业务，将其拆分为独立诊断公司","Astorg已完成对赛默飞全球微生物业务的收购，该业务将由独立管理团队运营，并计划于2026年晚些时候启用新品牌，服务临床诊断、食品安全和制药市场。对ACRO而言，这是赛默飞调整业务组合的竞争环境信号，而非新品发布；应观察独立公司后续品牌、渠道与制药客户策略是否改变。","verified","已核对Astorg 2026年8月12日官方公告","ChatGPT Pro"
"7b485a48b2cec143","赛默飞推出面向规模化细胞治疗生产的一体化平台","赛默飞发布一体化细胞治疗制造平台，核心定位是把细胞处理、工艺自动化、分析检测和规模化生产能力串联起来，降低从开发到商业化生产之间的转换风险。该动作显示其竞争重点正从单个仪器或试剂扩展到完整工作流。ACRO可据此对照自身GMP细胞因子、原料与细胞治疗解决方案在端到端场景中的位置和差异化证据。","verified","已核对赛默飞官方新闻稿目录及细胞治疗制造方案页面","ChatGPT Pro"
"5f6aff94aa0a872a","赛默飞推出Gibco CTS Compleo细胞治疗配制与灌装系统","Gibco CTS Compleo是一套功能封闭、模块化的自动配制与灌装系统，面向细胞治疗生产，可支持低至0.5毫升的灌装、灵活输入输出及与21 CFR Part 11合规系统连接。它试图减少人工操作带来的污染、偏差和细胞浪费。对ACRO而言，这是竞品在细胞治疗下游制造环节补齐自动化能力的明确信号，适合用于产品组合与合作生态对标。","verified","已核对赛默飞产品页、规格表和官方新闻稿目录","ChatGPT Pro"
"411e8520e5b8256c","STEMCELL与CCRM合作提供配套的GMP和科研级iPSC细胞系","STEMCELL Technologies与CCRM合作，把同一来源的GMP级iPSC细胞系及其配套科研级版本提供给全球细胞治疗开发者。开发者可在早期研究阶段使用RUO细胞系，并以具有可比性和监管资料支持的GMP材料推进临床开发，从而降低中途更换起始细胞的风险。该模式值得ACRO对标其从科研级到GMP级原料的连续性设计、资料包和渠道覆盖。","verified","已核对STEMCELL与CCRM官方联合新闻稿","ChatGPT Pro"
"ef38eac71670a32f","武田Mimrylo获FDA批准，用于真性红细胞增多症","FDA批准武田的Mimrylo，即rusfertide，用于治疗真性红细胞增多症。该药为每周一次皮下注射的hepcidin模拟肽，III期VERIFY研究显示其在标准治疗基础上可提高应答并减少放血治疗需求。此批准强化武田罕见血液病产品组合；对ACRO的直接产品映射尚不明确，建议先跟踪上市后研究与相关检测需求，不把潜在需求写成已确认机会。","verified","已核对Fierce Pharma摘要并与BioSpace和武田资料交叉确认","ChatGPT Pro"
"42f726d8e6c60dcb","日本药事审议会支持包括卫材Leqembi皮下注射剂在内的一批新药获批","日本厚生劳动省药事审议会第一部会已支持包括卫材早期阿尔茨海默病治疗药Leqembi皮下注射剂在内的一批产品获批。这里是审议会通过的监管节点，仍不应直接写成正式上市。对客户观察而言，可继续跟踪最终批准、给药方式变化及上市准备，但当前信息不足以推断具体试剂采购需求。","verified","已核对Mix Online公开摘要；保留审议通过与正式批准的边界","ChatGPT Pro"
"650f5de82699623c","百林科与百普赛斯合作开发AI赋能的下一代亲和纯化解决方案","百林科与百普赛斯签署战略合作，计划围绕AI设计的蛋白配基和亲和层析填料建立长期合作，形成上游AI蛋白设计与下游亲和纯化材料结合的解决方案。该事件同时涉及技术合作、产品化和市场传播，建议ACRO优先沉淀统一口径，后续持续追踪首批配基、验证数据、商业产品与共同客户案例，而不是停留在签约新闻层面。","verified","已核对公开合作稿及百普赛斯公司新闻页","ChatGPT Pro"
"0d385d1400e53451","武田真性红细胞增多症药物Mimrylo获美国批准；GSK因讲演会信息提供受到日本监管指导","行业汇总的武田部分确认Mimrylo已获美国批准，用于真性红细胞增多症，并被公司视为下一增长周期的重要产品。文章还包含GSK受到日本厚生劳动省指导的另一独立事件，不能并入武田客户档案。对武田应记录监管获批和商业化节点；对GSK则另建合规事件，避免一条汇总造成公司关系混淆。","verified","已核对AnswersNews正文并与BioSpace报道交叉确认","ChatGPT Pro"
"70e9c4f46a142fe2","小野药品与Mediar签署纤维炎症性疾病抗体发现合作及选择权协议","小野药品与Mediar Therapeutics将共同发现面向纤维炎症性疾病的新型抗体候选物。Mediar负责利用其抗体发现能力和纤维化研究平台开展研究，小野拥有对合作产生候选物进行全球独家开发、生产和商业化的选择权。该项目直接对应抗体早期发现和免疫炎症研究，可作为客户研发需求线索，但具体靶点、候选物和采购需求尚未公开。","verified","已核对小野药品日文和英文官方新闻稿","ChatGPT Pro"
"4811a948f33a6aa6","美国政府通过Project BioShield采购盐野义cefiderocol，首笔选择权金额为3690万美元","美国BARDA依据Project BioShield合同，行使首个采购选择权购买盐野义的cefiderocol，美国商品名Fetroja，盐野义集团将获得3690万美元。完整合同还包含美国制剂生产、重点生物威胁适应症开发及儿科补充申请等多年期选项。该条反映抗菌药公共采购和本土供应链建设，不应把3690万美元误写成3.69亿美元。","verified","已核对盐野义日英双语官方公告并校正金额单位","ChatGPT Pro"
"6d3561c7f3242295","宝生物就转让GMP细胞加工CDMO业务签署基本协议","宝生物与住友化学、住友制药及其合资公司S-RACMO签署基本协议，继续商谈人员、资产和合同项目等GMP细胞加工CDMO业务转让条件，目标在2026年10月前后签署最终协议。宝生物计划把CDMO资源聚焦到核酸与质粒、蛋白与酶、病毒载体等重点模态。交易尚未最终完成，但已清楚显示其细胞治疗制造业务组合正在调整。","verified","已核对Takara Bio英文官方公告；保留基本协议尚未完成交易的边界","ChatGPT Pro"
"9a10afdf46758bf0","小野药品在日本申请扩展Velexbru适应症至恶性淋巴瘤中枢神经系统浸润","小野药品已为BTK抑制剂Velexbru提交日本补充申请，拟用于既有治疗疗效不足或不适用的恶性淋巴瘤中枢神经系统浸润。申请依据为医生发起的II期临床研究，且该适应症目前尚无确立的标准治疗。该信息是明确的注册节点，但仍处审评阶段；建议跟踪批准结果和后续临床证据，不写成已经获批。","verified","已核对小野药品2026年6月11日官方新闻稿","ChatGPT Pro"
"6aca0bfc46c3f0b3","小野药品在日本申请Opdivo联合Lenvima治疗不可切除甲状腺未分化癌","小野药品提交Opdivo适应症扩展申请，拟与Lenvima联合用于不可根治切除的甲状腺未分化癌。申请依据为医生发起的II期NAVIGATION研究，客观缓解率为47.6%，达到主要终点，安全性被认为可管理。当前是补充申请而非批准；该项目同时涉及PD-1抗体与受体酪氨酸激酶抑制剂联合方案，可作为肿瘤临床与伴随研究信号跟踪。","verified","已核对小野药品官方新闻稿和NAVIGATION研究数据","ChatGPT Pro"
